mrnNum,itemName,vehicleMachinery,reqQty,recQty,hasUnpriced,importStatus,errorMessage
167087,Primery Fuel Filter (JS-1076),MG-17,2,0,0,imported,
167087,Fuel Water Separator (1000447498),MG-17,1,0,0,imported,
167085,Fuel Filter (32-925994),ZA-7034,1,0,0,imported,
167084,Oil Filter (C-206),VR-54,1,0,0,imported,
167084,Fuel Filter (FC 707A),VR-54,1,0,0,imported,
166083,Fuel Filter (2766 0798 9916),LY-1614,1,0,0,imported,
167083,Fuel Line Filter (2786 9999 9920),LY-1614,1,0,0,imported,
167083,Fuel Water Seperator (2786 0911 9904),LY-1614,1,0,0,imported,
166922,Wire Code (Multi Code),Work Shop Office,1,1,1,imported,
166922,Wifi Adapter,Work Shop Office,1,0,0,imported,
166921,19mm Bush,Work Shop Stores,1,0,0,imported,
166921,Combination Wrench 14mm,Work Shop Stores,1,0,0,imported,
166921,"Alluminium L Angle 1/2""",Work Shop Stores,24,0,0,imported,
165489,Track Master Pin,HEX-43,1,0,0,imported,
165488,Door Winder,HU-5097,1,0,0,imported,
165487,24V 04Pin Relay,LK-4057,2,0,0,imported,
165487,Double Head Lamp Relay X8003800 (24V 6Pin),LK-5047,1,0,0,imported,
165486,Over Roll Kit (XL),Tinker Nawathilaka,1,0,0,imported,
165486,Over Roll Kit (L),Machanical Dilipa,1,0,0,imported,
165486,Over  Roll Kit (XL),Machanic Kumara,1,0,0,imported,
165485,Pinion Assy,LP-1720,1,0,0,imported,
165484,Door Spring,CR-02,1,0,0,imported,
165484,Bearing (6200DU),CR-02,2,0,0,imported,
165484,Bearing (6000DU),CR-02,4,0,0,imported,
167438,80W 90 Gear Oil,Work Shop Stores,210,210,1,imported,
167082,Oil Filter (F 002 H20 247 8F),RC-9894,1,1,1,imported,
167082,Fuel Filter,RC-9894,1,1,1,imported,
167082,Fuel Filter (2126331K91),RC-9894,1,1,1,imported,
165483,Filler,LO-4824,2,2,1,imported,
165483,Primer,LO-4824,1,1,1,imported,
165483,"2"" Masking",LO-4824,1,1,1,imported,
165483,Paint Gray,LO-4824,3,3,1,imported,
165483,2K Lacker,LO-4824,1,1,1,imported,
165483,Slow Thinner,LO-4824,0.5,0.5,1,imported,
165482,Benjo Washer,HEX-17,20,0,0,imported,
165482,Injector Service,HEX-17,6,0,0,imported,
165482,Injection Pump Service,HEX-17,1,0,0,imported,
165481,Winder Handle,LI-3851,1,1,1,imported,
165481,Door Winder,LI-3851,1,1,1,imported,
165480,Wiper Blade,165480,2,2,1,imported,
165479,Signal Switch (L/R),RC-9894,1,0,0,imported,
165479,Head Light Switch,RC-9894,1,0,0,imported,
165479,Double Signal  Switch,RC-9894,1,0,0,imported,
165478,Center Mount,28-4314,1,1,1,imported,
165477,Balance Bar Bush,51-7158,8,0,0,imported,
165477,Hub Racer,51-7158,2,0,0,imported,
165477,Rack Mount,51-7158,2,0,0,imported,
165477,Tie Bar Bush,51-7158,4,0,0,imported,
165477,Upper Arm Bush,51-7158,4,0,0,imported,
165477,Gear Cable,51-7158,1,1,1,imported,
165477,Seat Belt Full Set,51-7158,1,0,0,imported,
165477,Signal Light Cup (R),51-7158,1,0,0,imported,
165476,Silicon,LK-4057,1,1,1,imported,
165475,Feed Pump Nozzel Pin,ZB-1980,1,0,0,imported,
165475,Injector Service,ZB-1980,4,0,0,imported,
165475,Injector Pump Repair & Service,ZB-1980,1,0,0,imported,
165474,Tapet Cover Packing,HEX-42,1,0,0,imported,
165474,A/C Filter,HEX-42,2,0,0,imported,
165474,Injector Service,HEX-42,6,0,0,imported,
165473,Packing Set,01 Bags Concrete Mixer,1,1,1,imported,
165473,Bearing,01 Bags Concrete Mixer,2,2,1,imported,
165473,Ring Set,01 Bags Concrete Mixer,1,1,1,imported,
140450,12V  95Ah New Battery,RC-9894,1,0,0,imported,
140449,12V  95Ah New Battery,HEX-17,2,0,0,imported,
167089,Water Seperator (2208 4770 9902),"LP-1711, LP-1719, LP-1712",3,0,0,imported,
167089,Primery Fuel Filter (2786 0999 9822),"LP-1711, LP-1719, LP-1712",3,0,0,imported,
167089,Engine Oil Filter (2786 1999 9994),"LP-1711, LP-1719, LP-1712",3,0,0,imported,
165457,Gear Boot,RC-9894,1,1,1,imported,
165457,12V Signal Flasher,RC-9894,1,1,1,imported,
165457,Gear Lever New,RC-9894,1,1,1,imported,
165457,Bolt (S),RC-9894,3,3,1,imported,
165457,Bolt (L),RC-9894,4,4,1,imported,
165457,Spring,RC-9894,1,1,1,imported,
165472,Overall Kit (L),Trainee Machanic A.K.M.A Senarath,1,0,0,imported,
165472,Safety Shoes (42),Trainee Machanic A.K.M.A Senarath,1,0,0,imported,
165472,Overoll Kit (L),Trainee Machanic V.A Janith Piumal,1,0,0,imported,
165472,Safety Shoe (43),Trainee Machanic V.A Janith Piumal,1,0,0,imported,
165471,Main Shaft Lock Nut,67-5115,1,0,0,imported,
165471,Brass Cone,67-5115,1,1,1,imported,
165471,Hub Lock,67-5115,2,2,1,imported,
165470,Cabin Light,LY-1614,1,0,0,imported,
165470,Fog light,LY-1614,2,0,0,imported,
165469,A/C Repair,LP-1571,1,0,0,imported,
165467,Mud Cover (R),PY-2408,2,2,1,imported,
165467,Mud Cover (F),PY-2408,2,2,1,imported,
165467,Floor Carpet,PY-2408,2,2,1,imported,
165466,Air Hose Adapter,48-8072,1,0,0,imported,
